symbol,name,sector,status,observations,median_daily_turnover
THYAO.IS,TÜRK HAVA YOLLARI A.O.,Other,PASS,1502,6794562810.152771
YKBNK.IS,YAPI VE KREDİ BANKASI A.Ş.,Other,PASS,1502,3019602030.4686966
EREGL.IS,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.,Other,PASS,1503,2978776658.2536583
AKBNK.IS,AKBANK T.A.Ş.,Other,PASS,1502,2907639825.006771
ISCTR.IS,TÜRKİYE İŞ BANKASI A.Ş.,Other,PASS,1502,2906439912.585906
ASELS.IS,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,2170539202.5536327
GARAN.IS,TÜRKİYE GARANTİ BANKASI A.Ş.,Other,PASS,1502,1964881105.719818
TUPRS.IS,TÜPRAŞ-TÜRKİYE PETROL RAFİNERİLERİ A.Ş.,Other,PASS,1502,1901211166.2163315
KCHOL.IS,KOÇ HOLDİNG A.Ş.,Other,PASS,1502,1900530680.3644483
ASTOR.IS,ASTOR ENERJİ A.Ş.,Other,PASS,889,1784959628.8243637
EKGYO.IS,EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1502,1746860168.1255274
SISE.IS,TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş.,Other,PASS,1502,1485458858.8346162
SAHOL.IS,HACI ÖMER SABANCI HOLDİNG A.Ş.,Other,PASS,1502,1467379997.5193253
TCELL.IS,TURKCELL İLETİŞİM HİZMETLERİ A.Ş.,Other,PASS,1502,1389821595.3528175
KRDMD.IS,KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,1338132838.8233707
PGSUS.IS,PEGASUS HAVA TAŞIMACILIĞI A.Ş.,Other,PASS,1503,1321144469.3834229
SASA.IS,SASA POLYESTER SANAYİ A.Ş.,Other,PASS,1503,1234343189.9252954
PETKM.IS,PETKİM PETROKİMYA HOLDİNG A.Ş.,Other,PASS,1502,1157394392.7397127
BIMAS.IS,BİM BİRLEŞİK MAĞAZALAR A.Ş.,Other,PASS,1505,1126845363.9646606
TTKOM.IS,TÜRK TELEKOMÜNİKASYON A.Ş.,Other,PASS,1502,786895330.065175
FROTO.IS,FORD OTOMOTİV SANAYİ A.Ş.,Other,PASS,1503,778066597.0367432
GUBRF.IS,GÜBRE FABRİKALARI T.A.Ş.,Other,PASS,1502,776492976.75
TOASO.IS,TOFAŞ TÜRK OTOMOBİL FABRİKASI A.Ş.,Other,PASS,1502,734827577.2464066
HALKB.IS,TÜRKİYE HALK BANKASI A.Ş.,Other,PASS,1502,710255791.952465
KTLEV.IS,KATILIMEVİM TASARRUF FİNANSMAN A.Ş.,Other,PASS,600,652838268.1566802
VAKBN.IS,TÜRKİYE VAKIFLAR BANKASI T.A.O.,Other,PASS,1502,617565641.646833
