symbol,row_count,missing_values,zero_volume_days,price_anomalies,status
THYAO.IS,750,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
PGSUS.IS,751,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",4.0,0.0,PASS
AKBNK.IS,750,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
GARAN.IS,750,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
ISCTR.IS,750,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
YKBNK.IS,750,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
KCHOL.IS,750,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
SAHOL.IS,750,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
ASELS.IS,750,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
EREGL.IS,751,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",4.0,0.0,PASS
KRDMD.IS,750,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
TUPRS.IS,750,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
PETKM.IS,750,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
SISE.IS,750,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
BIMAS.IS,753,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",6.0,0.0,PASS
MGROS.IS,750,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
SOKM.IS,750,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
FROTO.IS,751,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",4.0,0.0,PASS
TOASO.IS,750,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
ASUZU.IS,750,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
ARCLK.IS,750,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
VESBE.IS,750,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
ENJSA.IS,750,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
