date,p11_hits,p12_hits,p11_ret,p12_ret
2026-06-02,0,0,-0.0750244480626157,-0.10246655781904306
2026-06-03,1,1,-0.03487704084180535,0.021482750123554148
2026-06-04,0,0,-0.06912065439672795,-0.16346437822889145
2026-06-05,1,1,-0.03089359218949295,0.004749393855017501
2026-06-08,2,1,0.0215206877910624,-0.0301334993637333
2026-06-09,1,2,0.005799127939573351,0.033393374944968295
2026-06-10,1,2,0.0086459035883423,0.0066827783841498
2026-06-11,1,1,-0.0031626717908903495,-0.018149341450323198
2026-06-12,2,1,0.07033321685895394,0.031681507513853104
2026-06-15,1,1,0.016639291183532048,0.0050518996311333525
2026-06-16,2,1,0.0676800372096083,0.1039718062114077
2026-06-17,2,2,0.0672659461364535,0.022809941294738102
2026-06-18,0,1,-0.02723129307241075,-0.02360869785210705
2026-06-19,0,0,-0.0971254127095164,-0.018346940164718148
2026-06-22,0,1,-0.0334368893143097,0.021105939530168247
2026-06-23,0,2,-0.0272218315156947,0.07187873133521636
2026-06-24,0,0,-0.025508237528846102,-0.04820023698117555
2026-06-25,0,0,-0.04852506957094585,-0.0177383320203381
2026-06-26,1,1,-0.002617159729541251,0.0744028152000909
2026-06-29,0,1,-0.01964642129191515,0.0972929476782422
2026-06-30,1,1,-0.00021757530615670005,0.04470273911770755
2026-07-01,0,1,-0.03760046752033395,0.016957558741130047
2026-07-02,0,0,-0.03259062646903075,-0.05092794084789924
2026-07-03,0,1,-0.0598710531043403,-0.0176848986806121
2026-07-06,0,0,-0.048106131535468,-0.0366441660759068
2026-07-07,1,0,0.0135808525982905,-0.06818230791801394
2026-07-08,1,2,-0.03130187449347375,0.0155571376035845
2026-07-09,1,1,0.1200793227177873,-0.0026702548817604003
2026-07-10,1,1,-0.00400084057337005,0.0024725323997812996
2026-07-13,2,2,0.0563584916724333,0.05529238470348105
2026-07-14,2,1,0.032280954307119,-0.01444506113446895
2026-07-15,1,1,0.00375943932199205,0.015681029197921248
2026-07-16,2,0,0.0372750928772481,-0.04626835024700695
2026-07-17,0,0,-0.0958388925091956,-0.01778426963441345
2026-07-20,1,1,-0.014268788260642151,0.0054738292473067
2026-07-21,1,0,-0.03457754274195525,-0.056071770995343204
2026-07-22,0,0,-0.06417985451313055,-0.024065067697701496
2026-07-23,0,0,-0.06749939697374899,-0.0382548686657982
2026-07-24,1,0,0.008754288800302351,-0.06075183246028269
2026-07-27,1,1,-0.0342619752246508,-0.009940429076798749
2026-07-28,0,0,-0.018415382231473498,-0.00978937795163705
2026-07-29,0,1,-0.00908193412884585,5.1131626180100226e-05
2026-07-30,2,0,0.06683642632889475,-0.00379227436977365
2026-07-31,2,2,0.09052108336153426,0.09052108336153426
2026-08-03,0,1,-0.09802809137632565,0.03491297192445095
2026-08-04,2,0,0.01845393406834625,-0.0552539683048769
2026-08-05,0,2,-0.02966915999335425,0.054211351074870545
