,date,k,hits,is_3plus,is_1plus,avg_return
0,2026-05-04,5,5,1,1,0.0427940596781831
1,2026-05-05,5,5,1,1,0.057633502099962666
2,2026-05-06,5,5,1,1,0.060218491614750604
3,2026-05-07,3,3,1,1,0.1189373527409689
4,2026-05-08,3,3,1,1,0.07667984793490033
5,2026-05-11,1,1,0,1,0.0471240011864422
6,2026-05-12,0,0,0,0,0.0
7,2026-05-13,0,0,0,0,0.0
8,2026-05-14,0,0,0,0,0.0
9,2026-05-15,0,0,0,0,0.0
10,2026-05-18,3,3,1,1,0.1007937584917639
11,2026-05-19,4,4,1,1,0.02567817656691835
12,2026-05-20,5,5,1,1,0.08495864601910984
13,2026-05-21,5,5,1,1,0.11564925480521118
14,2026-05-22,5,5,1,1,0.08854601316321878
15,2026-05-25,0,0,0,0,0.0
16,2026-05-26,0,0,0,0,0.0
17,2026-05-27,0,0,0,0,0.0
18,2026-05-28,0,0,0,0,0.0
19,2026-05-29,0,0,0,0,0.0
20,2026-06-01,1,1,0,1,0.1015490822862392
21,2026-06-02,1,1,0,1,0.0190476008823938
22,2026-06-03,0,0,0,0,0.0
23,2026-06-04,1,1,0,1,0.027868776207228
24,2026-06-05,3,3,1,1,0.02399211542280713
25,2026-06-08,5,5,1,1,0.06377430320568156
26,2026-06-09,1,1,0,1,0.0368217176044585
27,2026-06-10,0,0,0,0,0.0
28,2026-06-11,0,0,0,0,0.0
29,2026-06-12,1,1,0,1,0.1345647055448739
30,2026-06-15,1,1,0,1,0.0684039087947883
31,2026-06-16,1,1,0,1,0.0374603271484375
32,2026-06-17,1,1,0,1,0.0589712014755652
33,2026-06-18,1,1,0,1,0.0267856886268271
34,2026-06-19,1,1,0,1,0.0241573215509187
35,2026-06-22,0,0,0,0,0.0
36,2026-06-23,0,0,0,0,0.0
37,2026-06-24,0,0,0,0,0.0
38,2026-06-25,3,3,1,1,0.06644684175651515
39,2026-06-26,1,1,0,1,0.035040514965644
40,2026-06-29,1,1,0,1,0.2650887362934708
41,2026-06-30,0,0,0,0,0.0
42,2026-07-01,0,0,0,0,0.0
43,2026-07-02,3,3,1,1,0.037599128560163196
44,2026-07-03,0,0,0,0,0.0
45,2026-07-06,0,0,0,0,0.0
46,2026-07-07,1,1,0,1,0.0593220338983051
47,2026-07-08,0,0,0,0,0.0
48,2026-07-09,0,0,0,0,0.0
49,2026-07-10,0,0,0,0,0.0
50,2026-07-13,0,0,0,0,0.0
51,2026-07-14,0,0,0,0,0.0
52,2026-07-15,1,0,0,0,-0.0112945048421193
53,2026-07-16,0,0,0,0,0.0
54,2026-07-17,1,1,0,1,0.0121722846441947
55,2026-07-20,0,0,0,0,0.0
56,2026-07-21,1,1,0,1,0.0628870752366808
57,2026-07-22,1,1,0,1,0.0736342613105778
58,2026-07-23,1,1,0,1,0.0371444792984818
59,2026-07-24,0,0,0,0,0.0
60,2026-07-27,0,0,0,0,0.0
61,2026-07-28,0,0,0,0,0.0
62,2026-07-29,0,0,0,0,0.0
63,2026-07-30,1,1,0,1,0.0228519192425113
64,2026-07-31,4,2,0,1,-0.26741785697357645
65,2026-08-03,0,0,0,0,0.0
66,2026-08-04,0,0,0,0,0.0
67,2026-08-05,3,3,1,1,0.25470370191211505
68,2026-08-06,3,0,0,0,0.0
69,2026-08-07,3,0,0,0,0.0
70,2026-08-10,3,0,0,0,0.0
71,2026-08-11,3,0,0,0,0.0
72,2026-08-12,1,0,0,0,0.0
