Symbol,N,Accuracy
FROTO.IS,120,0.8916666666666667
MNDRS.IS,120,0.8583333333333333
VESBE.IS,120,0.8333333333333334
ASUZU.IS,120,0.7916666666666666
ARCLK.IS,120,0.775
SOKM.IS,120,0.75
ENKAI.IS,120,0.7416666666666667
TTKOM.IS,120,0.7083333333333334
KONTR.IS,120,0.7083333333333334
TAVHL.IS,120,0.7
SISE.IS,120,0.6833333333333333
SAHOL.IS,120,0.6833333333333333
OYAKC.IS,120,0.675
TCELL.IS,120,0.675
ISCTR.IS,120,0.675
MAVI.IS,120,0.6666666666666666
AKBNK.IS,120,0.6666666666666666
PGSUS.IS,120,0.6666666666666666
GARAN.IS,120,0.6583333333333333
EKGYO.IS,120,0.65
YKBNK.IS,120,0.65
LOGO.IS,120,0.65
THYAO.IS,120,0.6416666666666667
HEKTS.IS,120,0.625
MGROS.IS,120,0.5916666666666667
KCHOL.IS,120,0.575
MIATK.IS,120,0.5666666666666667
DOAS.IS,120,0.5666666666666667
DOHOL.IS,120,0.5416666666666666
TOASO.IS,120,0.5416666666666666
ASELS.IS,120,0.5416666666666666
ENJSA.IS,120,0.525
TURSG.IS,120,0.5083333333333333
ALARK.IS,120,0.5
BIMAS.IS,120,0.48333333333333334
PETKM.IS,120,0.48333333333333334
DOCO.IS,120,0.48333333333333334
AKCNS.IS,120,0.4666666666666667
TUPRS.IS,120,0.4583333333333333
CCOLA.IS,120,0.45
KRDMD.IS,120,0.45
TRGYO.IS,120,0.45
AEFES.IS,120,0.43333333333333335
ASTOR.IS,120,0.425
YEOTK.IS,120,0.425
TKFEN.IS,120,0.38333333333333336
SASA.IS,53,0.3584905660377358
EREGL.IS,120,0.3416666666666667
