date,net_return,top_stocks,hit_count,cum_return
2026-02-11,0.01949340330881274,"['TURSG.IS', 'MAVI.IS', 'FROTO.IS', 'ENJSA.IS', 'TCELL.IS']",5,1.0194934033088128
2026-02-12,0.009567438308988319,"['TURSG.IS', 'SAHOL.IS', 'KCHOL.IS', 'TAVHL.IS', 'EKGYO.IS']",5,1.0292473435513905
2026-02-13,0.005984966643146741,"['TURSG.IS', 'OYAKC.IS', 'CCOLA.IS', 'HEKTS.IS', 'DOCO.IS']",4,1.035407354570093
2026-02-16,-0.010778674584744578,"['VESBE.IS', 'HEKTS.IS', 'TURSG.IS', 'DOCO.IS', 'OYAKC.IS']",0,1.0242470356325308
2026-02-17,-0.009032463038113902,"['TURSG.IS', 'DOCO.IS', 'TTKOM.IS', 'FROTO.IS', 'ASUZU.IS']",1,1.0149955621412823
2026-02-18,-0.015898213904675402,"['DOCO.IS', 'MNDRS.IS', 'AKCNS.IS', 'ASUZU.IS', 'TTKOM.IS']",2,0.9988589455820639
2026-02-19,-0.0009338564770030001,"['TURSG.IS', 'SOKM.IS', 'EKGYO.IS', 'ASUZU.IS', 'DOCO.IS']",3,0.9979261546861198
2026-02-20,0.010661891797101843,"['EKGYO.IS', 'MGROS.IS', 'DOCO.IS', 'TURSG.IS', 'SOKM.IS']",3,1.008565935368881
2026-02-23,-0.00744746730027006,"['EKGYO.IS', 'SASA.IS', 'DOCO.IS', 'TURSG.IS', 'ENJSA.IS']",1,1.001054673545055
2026-02-24,-0.003242198646758839,"['EKGYO.IS', 'MGROS.IS', 'SASA.IS', 'DOCO.IS', 'SOKM.IS']",2,0.9978090554371556
2026-02-25,0.00127243563139854,"['EKGYO.IS', 'DOCO.IS', 'SASA.IS', 'ASUZU.IS', 'TURSG.IS']",2,0.9990787032326258
2026-02-26,-0.02595290126605968,"['EKGYO.IS', 'DOCO.IS', 'SOKM.IS', 'ENJSA.IS', 'TURSG.IS']",0,0.9731497122906065
2026-02-27,-0.060788445882140094,"['EKGYO.IS', 'DOCO.IS', 'TRGYO.IS', 'TURSG.IS', 'GARAN.IS']",0,0.9139934536698089
2026-03-02,-0.01824892069252556,"['EKGYO.IS', 'YKBNK.IS', 'TURSG.IS', 'TUPRS.IS', 'ENKAI.IS']",2,0.897314059620301
2026-03-03,-0.0069544853303836205,"['EKGYO.IS', 'YKBNK.IS', 'TURSG.IS', 'TUPRS.IS', 'AKCNS.IS']",1,0.8910737021559245
2026-03-04,0.01425923337568592,"['EKGYO.IS', 'YKBNK.IS', 'AKCNS.IS', 'TUPRS.IS', 'TURSG.IS']",4,0.9037797300299023
2026-03-05,-0.01071471696179336,"['EKGYO.IS', 'YKBNK.IS', 'TURSG.IS', 'TUPRS.IS', 'AKCNS.IS']",1,0.8940959860268258
2026-03-06,-0.01720739918322128,"['YKBNK.IS', 'TURSG.IS', 'EKGYO.IS', 'TUPRS.IS', 'AKCNS.IS']",1,0.8787109194871464
2026-03-09,0.030656427130950202,"['TURSG.IS', 'YKBNK.IS', 'EKGYO.IS', 'MGROS.IS', 'PETKM.IS']",5,0.9056490567595743
2026-03-10,-0.0045667792369079585,"['EKGYO.IS', 'YKBNK.IS', 'TURSG.IS', 'ENJSA.IS', 'AKCNS.IS']",2,0.9015131574512394
2026-03-11,0.01052127095146398,"['YKBNK.IS', 'EKGYO.IS', 'TURSG.IS', 'ENJSA.IS', 'BIMAS.IS']",3,0.9109982216470937
2026-03-12,-0.0010211885134439411,"['YKBNK.IS', 'EKGYO.IS', 'TURSG.IS', 'ENJSA.IS', 'BIMAS.IS']",2,0.9100679207273799
