symbol,total_events_20d_avg,filling_rate
THYAO.IS,0.2693333333333333,0.25733333333333336
ASTOR.IS,0.232,0.232
SASA.IS,0.23302263648468707,0.23302263648468707
TKFEN.IS,0.23302263648468707,0.23302263648468707
ENKAI.IS,0.25066666666666665,0.23866666666666667
TCELL.IS,0.25066666666666665,0.25066666666666665
TTKOM.IS,0.232,0.232
AEFES.IS,0.23302263648468707,0.23302263648468707
ENJSA.IS,0.232,0.232
CCOLA.IS,0.23302263648468707,0.23302263648468707
EKGYO.IS,0.232,0.232
AKCNS.IS,0.232,0.232
OYAKC.IS,0.23302263648468707,0.23302263648468707
MNDRS.IS,0.232,0.232
MAVI.IS,0.25166444740346205,0.2396804260985353
LOGO.IS,0.232,0.232
MIATK.IS,0.232,0.232
TRGYO.IS,0.232,0.232
VESBE.IS,0.232,0.232
ARCLK.IS,0.232,0.232
ASUZU.IS,0.232,0.232
AKBNK.IS,0.268,0.256
GARAN.IS,0.2693333333333333,0.25333333333333335
ISCTR.IS,0.232,0.232
YKBNK.IS,0.2693333333333333,0.25733333333333336
KCHOL.IS,0.2693333333333333,0.25466666666666665
SAHOL.IS,0.25066666666666665,0.25066666666666665
ASELS.IS,0.26666666666666666,0.24933333333333332
EREGL.IS,0.25166444740346205,0.23435419440745672
KRDMD.IS,0.232,0.232
TUPRS.IS,0.25066666666666665,0.25066666666666665
PETKM.IS,0.232,0.232
SISE.IS,0.2653333333333333,0.25466666666666665
BIMAS.IS,0.2695883134130146,0.25763612217795484
MGROS.IS,0.232,0.232
SOKM.IS,0.232,0.232
FROTO.IS,0.25166444740346205,0.25166444740346205
TOASO.IS,0.232,0.232
DOAS.IS,0.232,0.232
TAVHL.IS,0.232,0.232
HEKTS.IS,0.232,0.232
PGSUS.IS,0.23302263648468707,0.23302263648468707
DOCO.IS,0.232,0.232
DOHOL.IS,0.232,0.232
ALARK.IS,0.232,0.232
KONTR.IS,0.23302263648468707,0.23302263648468707
YEOTK.IS,0.23148148148148148,0.23148148148148148
TURSG.IS,0.23209549071618038,0.23209549071618038
